id	rate
1001	272
1003	1094
1005	115
1007	40
1009	81
1011	32
1013	99
1015	651
1017	59
1019	189
1021	177
1023	84
1025	65
1027	13
1029	80
1031	382
1033	161
1035	33
1037	61
1039	483
1041	72
1043	235
1045	274
1047	288
1049	362
1051	372
1053	142
1055	106
1057	19
1059	122
1061	165
1063	58
1065	36
1067	71
1069	857
1071	177
1073	2042
1075	37
1077	281
1079	130
1081	1208
1083	237
1085	23
1087	119
1089	2229
1091	77
1093	120
1095	360
1097	1494
1099	36
1101	628
1103	230
1105	0
1107	22
1109	148
1111	111
1113	484
1115	166
1117	706
1119	29
1121	631
1123	96
1125	883
1127	234
1129	51
1131	26
1133	178
2013	32
2016	134
2020	5274
2050	1432
2060	12
2068	3
2070	344
2090	1770
2100	7
2105	165
2110	476
2122	1516
2130	293
2150	289
2164	172
2170	2061
2180	674
2185	575
2188	455
2195	146
2198	109
2220	383
2230	14
2240	78
2261	178
2270	766
2275	99
2282	20
2290	316
4001	281
4003	1043
4005	2459
4007	626
4009	174
4011	90
4012	208
4013	41816
4015	1545
4017	519
4019	14492
4021	2628
4023	222
4025	1758
4027	1659
5001	96
5003	318
5005	127
5007	1547
5009	135
5011	94
5013	18
5015	86
5017	176
5019	270
5021	79
5023	208
5025	29
5027	249
5029	136
5031	558
5033	98
5035	411
5037	51
5039	32
5041	368
5043	202
5045	607
5047	40
5049	44
5051	508
5053	87
5055	339
5057	239
5059	120
5061	105
5063	93
5065	36
5067	53
5069	620
5071	161
5073	140
5075	94
5077	24
5079	216
5081	80
5083	94
5085	396
5087	34
5089	68
5091	300
5093	411
5095	12
5097	4
5099	35
5101	7
5103	128
5105	41
5107	20
5109	112
5111	56
5113	76
5115	415
5117	28
5119	1704
5121	118
5123	75
5125	255
5127	56
5129	0
5131	737
5133	67
5135	135
5137	175
5139	448
5141	282
5143	987
5145	181
5147	43
5149	77
6001	21168
6003	0
6005	195
6007	3284
6009	170
6011	89
6013	7953
6015	284
6017	1680
6019	12454
6021	159
6023	2162
6025	1057
6027	462
6029	6718
6031	1201
6033	357
6035	148
6037	90413
6039	843
6041	2986
6043	225
6045	661
6047	3206
6049	134
6051	408
6053	10070
6055	956
6057	653
6059	27655
6061	2840
6063	42
6065	14032
6067	14501
6069	461
6071	10816
6073	26354
6075	23984
6077	4417
6079	3536
6081	8600
6083	10165
6085	25692
6087	6080
6089	1444
6091	28
6093	302
6095	2833
6097	5275
6099	3747
6101	692
6103	554
6105	169
6107	3547
6109	306
6111	6808
6113	8353
6115	528
8001	3066
8003	153
8005	4293
8007	79
8009	29
8011	15
8013	8673
8014	583
8015	330
8017	8
8019	62
8021	57
8023	17
8025	35
8027	0
8029	235
8031	10678
8033	6
8035	1748
8037	473
8039	146
8041	4341
8043	255
8045	634
8047	18
8049	106
8051	1061
8053	38
8055	61
8057	13
8059	5811
8061	5
8063	36
8065	50
8067	1116
8069	7873
8071	78
8073	21
8075	250
8077	1730
8079	2
8081	77
8083	176
8085	295
8087	141
8089	201
8091	60
8093	50
8095	31
8097	529
8099	180
8101	1052
8103	75
8105	59
8107	543
8109	98
8111	45
8113	250
8115	14
8117	525
8119	117
8121	36
8123	2580
8125	76
9001	5112
9003	5718
9005	607
9007	924
9009	5673
9011	1672
9013	559
9015	398
10001	1004
10003	2312
10005	2153
11001	13059
12001	5563
12003	21
12005	1847
12007	43
12009	5527
12011	15787
12013	106
12015	2181
12017	924
12019	1430
12021	4547
12023	429
12027	219
12029	96
12031	6579
12033	2281
12035	705
12037	101
12039	364
12041	37
12043	23
12045	75
12047	110
12049	456
12051	412
12053	863
12055	707
12057	10937
12059	52
12061	1036
12063	208
12065	43
12067	76
12069	2147
12071	6245
12073	2202
12075	259
12077	29
12079	440
12081	2894
12083	3018
12085	1177
12086	21473
12087	5000
12089	1150
12091	2194
12093	226
12095	12253
12097	3314
12099	11470
12101	3196
12103	10509
12105	6077
12107	459
12109	2712
12111	1713
12113	1115
12115	3935
12117	3565
12119	1332
12121	196
12123	62
12125	31
12127	5166
12129	139
12131	876
12133	197
13001	590
13003	51
13005	104
13007	71
13009	463
13011	54
13013	266
13015	734
13017	156
13019	81
13021	993
13023	27
13025	111
13027	68
13029	467
13031	336
13033	132
13035	69
13037	18
13039	301
13043	112
13045	681
13047	321
13049	69
13051	1885
13053	169
13055	59
13057	907
13059	1614
13061	7
13063	1927
13065	273
13067	4200
13069	812
13071	253
13073	608
13075	116
13077	437
13079	19
13081	142
13083	19
13085	74
13087	778
13089	6237
13091	53
13093	259
13095	380
13097	423
13099	111
13101	141
13103	198
13105	40
13107	496
13109	409
13111	71
13113	938
13115	631
13117	1349
13119	165
13121	6836
13123	224
13125	6
13127	844
13129	518
13131	420
13133	44
13135	9050
13137	133
13139	1479
13141	36
13143	94
13145	399
13147	40
13149	22
13151	728
13153	677
13155	58
13157	313
13159	118
13161	161
13163	100
13165	0
13167	301
13169	73
13171	16
13173	284
13175	165
13177	106
13179	956
13181	12
13183	233
13185	1611
13187	111
13189	160
13191	61
13193	57
13195	91
13197	68
13199	92
13201	118
13205	358
13207	101
13209	101
13211	101
13213	71
13215	995
13217	286
13219	144
13221	67
13223	536
13225	245
13227	92
13229	100
13231	54
13233	181
13235	11
13237	126
13239	22
13241	68
13243	55
13245	886
13247	765
13249	39
13251	55
13253	40
13255	380
13257	21
13259	10
13261	186
13263	187
13265	42
13267	562
13269	27
13271	63
13273	22
13275	444
13277	218
13279	138
13281	12
13283	0
13285	846
13287	50
13289	0
13291	102
13293	189
13295	108
13297	424
13299	89
13301	10
13303	111
13305	336
13307	0
13309	20
13311	47
13313	1036
13315	23
13317	6
13319	23
13321	79
15001	1738
15003	17143
15005	16
15007	714
15009	1889
16001	6500
16003	54
16005	739
16007	32
16009	114
16011	330
16013	337
16015	71
16017	625
16019	907
16021	54
16023	0
16025	8
16027	2918
16029	27
16031	297
16033	22
16035	48
16037	42
16039	199
16041	88
16043	35
16045	179
16047	132
16049	79
16051	150
16053	113
16055	998
16057	783
16059	118
16061	31
16063	40
16065	723
16067	75
16069	439
16071	5
16073	89
16075	221
16077	24
16079	91
16081	94
16083	662
16085	194
16087	125
17001	389
17003	58
17005	64
17007	412
17009	61
17011	171
17013	42
17015	59
17017	51
17019	3090
17021	117
17023	100
17025	92
17027	175
17029	331
17031	48264
17033	133
17035	57
17037	739
17039	55
17041	452
17043	5630
17045	89
17047	51
17049	284
17051	220
17053	50
17055	177
17057	181
17059	29
17061	66
17063	229
17065	1
17067	59
17069	17
17071	16
17073	242
17075	191
17077	659
17079	35
17081	358
17083	56
17085	106
17087	31
17089	4438
17091	618
17093	588
17095	405
17097	4632
17099	648
17101	72
17103	135
17105	158
17107	167
17109	340
17111	1568
17113	1395
17115	860
17117	177
17119	1417
17121	321
17123	79
17125	108
17127	97
17129	45
17131	109
17133	35
17135	93
17137	256
17139	398
17141	252
17143	1301
17145	71
17147	89
17149	152
17151	15
17153	0
17155	14
17157	104
17159	127
17161	927
17163	1521
17165	140
17167	1110
17169	23
17171	7
17173	65
17175	24
17177	285
17179	452
17181	57
17183	398
17185	157
17187	153
17189	58
17191	86
17193	63
17195	523
17197	3892
17199	293
17201	1382
17203	270
18001	249
18003	1787
18005	737
18007	26
18009	38
18011	569
18013	49
18015	76
18017	382
18019	393
18021	100
18023	387
18025	70
18027	203
18029	212
18031	160
18033	311
18035	682
18037	141
18039	2404
18041	232
18043	199
18045	72
18047	107
18049	181
18051	76
18053	384
18055	180
18057	1375
18059	170
18061	205
18063	821
18065	213
18067	595
18069	146
18071	710
18073	224
18075	161
18077	141
18079	212
18081	564
18083	132
18085	592
18087	1823
18089	1614
18091	492
18093	124
18095	606
18097	4691
18099	554
18101	19
18103	271
18105	1665
18107	175
18109	491
18111	66
18113	476
18115	32
18117	131
18119	138
18121	121
18123	72
18125	43
18127	548
18129	80
18131	93
18133	234
18135	180
18137	208
18139	8
18141	2065
18143	91
18145	378
18147	41
18149	47
18151	207
18153	186
18155	48
18157	1640
18159	63
18161	29
18163	1219
18165	12
18167	847
18169	165
18171	29
18173	296
18175	240
18177	523
18179	293
18181	110
18183	122
19001	35
19003	70
19005	96
19007	33
19009	12
19011	355
19013	707
19015	79
19017	70
19019	96
19021	128
19023	51
19025	69
19027	120
19029	137
19031	68
19033	313
19035	53
19037	109
19039	10
19041	149
19043	67
19045	229
19047	56
19049	305
19051	88
19053	71
19055	89
19057	427
19059	86
19061	362
19063	321
19065	147
19067	148
19069	43
19071	72
19073	55
19075	84
19077	48
19079	122
19081	103
19083	138
19085	37
19087	91
19089	43
19091	74
19093	42
19095	49
19097	67
19099	287
19101	217
19103	2620
19105	98
19107	36
19109	97
19111	163
19113	1623
19115	94
19117	57
19119	60
19121	55
19123	118
19125	237
19127	361
19129	81
19131	85
19133	99
19135	18
19137	60
19139	198
19141	232
19143	15
19145	123
19147	64
19149	220
19151	82
19153	2279
19155	441
19157	120
19159	61
19161	27
19163	765
19165	74
19167	324
19169	1285
19171	85
19173	40
19175	74
19177	23
19179	269
19181	146
19183	167
19185	32
19187	262
19189	82
19191	220
19193	1441
19195	18
19197	138
20001	63
20003	74
20005	46
20007	13
20009	155
20011	62
20013	91
20015	349
